nodenumber     x-coordinate     y-coordinate 
       542  3.397545380E-01  1.458333333E-01 
       543  3.597400990E-01  1.458333333E-01 
       544  3.797256601E-01  1.458333333E-01 
       545  3.997112211E-01  1.458333333E-01 
       546  4.196967822E-01  1.458333333E-01 
       547  4.396823432E-01  1.458333333E-01 
       548  4.596679043E-01  1.458333333E-01 
       549  4.796534653E-01  1.458333333E-01 
       550  4.996390264E-01  1.458333333E-01 
       551  5.196245875E-01  1.458333333E-01 
       552  5.396101485E-01  1.458333333E-01 
       553  5.595957096E-01  1.458333333E-01 
       554  5.795812706E-01  1.458333333E-01 
       555  5.995668317E-01  1.458333333E-01 
       556  6.195523927E-01  1.458333333E-01 
       557  6.395379538E-01  1.458333333E-01 
       558  6.595235149E-01  1.458333333E-01 
       559  6.795090759E-01  1.458333333E-01 
       560  6.994946370E-01  1.458333333E-01 
       561  7.194801980E-01  1.458333333E-01 
       562  7.394657591E-01  1.458333333E-01 
       563  7.594513201E-01  1.458333333E-01 
       564  7.794368812E-01  1.458333333E-01 
       565  7.994224422E-01  1.458333333E-01 
       566  8.194080033E-01  1.458333333E-01 
       567  8.393935644E-01  1.458333333E-01 
       568  8.593791254E-01  1.458333333E-01 
       569  8.793646865E-01  1.458333333E-01 
       570  8.993502475E-01  1.458333333E-01 
       571  9.193358086E-01  1.458333333E-01 
       572  9.393213696E-01  1.458333333E-01 
       573  9.593069307E-01  1.458333333E-01 
       574  9.792924917E-01  1.458333333E-01 
       575  9.992780528E-01  1.458333333E-01 
       576  1.490038342E+00  1.462337071E-01 
       577  1.372290170E+00  1.462866753E-01 
       578  1.607762247E+00  1.466129129E-01 
       579  1.254517731E+00  1.467718174E-01 
       580  1.725461884E+00  1.474242927E-01 
       581  1.136721025E+00  1.476891335E-01 
       582  1.843137255E+00  1.486678465E-01 
       583  1.018900052E+00  1.490386236E-01 
       584  1.509652252E+00  1.495830554E-01 
       585  1.391906102E+00  1.496000091E-01 
       586  1.627374134E+00  1.499982757E-01 
       587  1.274135686E+00  1.500491367E-01 
       588  1.745071750E+00  1.508456700E-01 
       589  1.156341002E+00  1.509304383E-01 
       590  1.862745098E+00  1.521252383E-01 
       591  1.038522051E+00  1.522439139E-01 
       592  1.411522035E+00  1.529133429E-01 
       593  1.529266162E+00  1.529324037E-01 
       594  1.293753640E+00  1.533264560E-01 
       595  1.646986022E+00  1.533836385E-01 
       596  1.175960978E+00  1.541717431E-01 
       597  1.764681615E+00  1.542670473E-01 
       598  1.058144050E+00  1.554492042E-01 
       599  1.882352941E+00  1.555826300E-01 
       600  1.431137967E+00  1.562266767E-01 
       601  1.548880072E+00  1.562817520E-01 
       602  1.313371595E+00  1.566037753E-01 
       603  1.666597910E+00  1.567690013E-01 
       604  1.195580955E+00  1.574130479E-01 
       605  1.784291481E+00  1.576884246E-01 
       606  1.077766049E+00  1.586544945E-01 
       607  1.901960784E+00  1.590400218E-01 
       608  1.450753899E+00  1.595400105E-01 
       609  1.568493982E+00  1.596311003E-01 
       610  1.332989549E+00  1.598810946E-01 
       611  1.686209797E+00  1.601543641E-01 
       612  1.215200932E+00  1.606543527E-01 
       613  1.803901346E+00  1.611098019E-01 
       614  1.097388048E+00  1.618597848E-01 
       615  1.921568627E+00  1.624974136E-01 
       616  1.470369831E+00  1.628533442E-01 
       617  1.588107892E+00  1.629804486E-01 
       618  1.352607503E+00  1.631584139E-01 
       619  1.705821685E+00  1.635397269E-01 
       620  1.234820909E+00  1.638956575E-01 
       621  1.823511211E+00  1.645311791E-01 
       622  1.117010047E+00  1.650650751E-01 
       623  1.941176471E+00  1.659548054E-01 
       624  1.489985763E+00  1.661666780E-01 
       625  1.607721802E+00  1.663297969E-01 
       626  1.372225458E+00  1.664357332E-01 
